Video Name,L1_R1,L1_R2
00563.mp4,Other,Driving in Lane
00566.mp4,Driving in Lane,Turning at intersection
00568.mp4,Straight at intersection,Leaving Lane
00571.mp4,Turning at intersection,Leaving Lane
00581.mp4,Straight at intersection,Driving in Lane
00591.mp4,Turning at intersection,Leaving Lane
00592.mp4,Turning at intersection,Leaving Lane
00593.mp4,Straight at intersection,Driving in Lane
00594.mp4,Straight at intersection,Driving in Lane
00597.mp4,Driving in Lane,Other
00606.mp4,Driving in Lane,Other
00609.mp4,Straight at intersection,Driving in Lane
00611.mp4,Straight at intersection,Driving in Lane
00614.mp4,Straight at intersection,Driving in Lane
00621.mp4,Driving in Lane,Turning at intersection
00623.mp4,Turning at intersection,Driving in Lane
00638.mp4,Other,Straight at intersection
00648.mp4,Driving in Lane,Leaving Lane
00651.mp4,Driving in Lane,Straight at intersection
00652.mp4,Driving in Lane,Leaving Lane
00656.mp4,Driving in Lane,Straight at intersection
00659.mp4,Driving in Lane,Straight at intersection
00661.mp4,Driving in Lane,Straight at intersection
00666.mp4,Driving in Lane,Leaving Lane
00667.mp4,Driving in Lane,Leaving Lane
00670.mp4,Driving in Lane,Leaving Lane
00674.mp4,Other,Driving in Lane
00678.mp4,Other,Driving in Lane
00682.mp4,Turning at intersection,Straight at intersection
00710.mp4,Driving in Lane,Straight at intersection
00715.mp4,Other,Straight at intersection
00723.mp4,Straight at intersection,Driving in Lane
00734.mp4,Driving in Lane,Leaving Lane
00742.mp4,Turning at intersection,Straight at intersection
00769.mp4,Straight at intersection,Driving in Lane
00794.mp4,Driving in Lane,Other
00819.mp4,Driving in Lane,Leaving Lane
00822.mp4,Straight at intersection,Driving in Lane
00843.mp4,Turning at intersection,Leaving Lane
00845.mp4,Straight at intersection,Driving in Lane
00860.mp4,Driving in Lane,Leaving Lane
00864.mp4,Straight at intersection,Leaving Lane
00866.mp4,Driving in Lane,Leaving Lane
00875.mp4,Straight at intersection,Leaving Lane
00883.mp4,Driving in Lane,Other
00896.mp4,Other,Driving in Lane
00897.mp4,Straight at intersection,Driving in Lane
00900.mp4,Straight at intersection,Driving in Lane
00911.mp4,Other,Driving in Lane
00913.mp4,Straight at intersection,Driving in Lane
00921.mp4,Turning at intersection,Other
00930.mp4,Straight at intersection,Driving in Lane
00932.mp4,Straight at intersection,Leaving Lane
00953.mp4,Straight at intersection,Turning at intersection
00954.mp4,Straight at intersection,Driving in Lane
00961.mp4,Turning at intersection,Driving in Lane
00965.mp4,Turning at intersection,Leaving Lane
00979.mp4,Turning at intersection,Driving in Lane
00991.mp4,Driving in Lane,Straight at intersection
00998.mp4,Leaving Lane,Driving in Lane
01000.mp4,Straight at intersection,Turning at intersection
01004.mp4,Straight at intersection,Driving in Lane
01016.mp4,Straight at intersection,Driving in Lane
01020.mp4,Straight at intersection,Driving in Lane
01031.mp4,Other,Leaving Lane
01035.mp4,Leaving Lane,Driving in Lane
01036.mp4,Straight at intersection,Driving in Lane
01037.mp4,Driving in Lane,Other
